air_station,weather_station
dongsi_aq,beijing_grid_303
dongsi_aq,beijing_grid_304
dongsi_aq,beijing_grid_324
tiantan_aq,beijing_grid_302
tiantan_aq,beijing_grid_303
tiantan_aq,beijing_grid_324
guanyuan_aq,beijing_grid_282
guanyuan_aq,beijing_grid_283
guanyuan_aq,beijing_grid_303
guanyuan_aq,beijing_grid_304
wanshouxigong_aq,beijing_grid_281
wanshouxigong_aq,beijing_grid_282
wanshouxigong_aq,beijing_grid_302
wanshouxigong_aq,beijing_grid_303
aotizhongxin_aq,beijing_grid_283
aotizhongxin_aq,beijing_grid_303
aotizhongxin_aq,beijing_grid_304
nongzhanguan_aq,beijing_grid_303
nongzhanguan_aq,beijing_grid_304
nongzhanguan_aq,beijing_grid_324
nongzhanguan_aq,beijing_grid_325
wanliu_aq,beijing_grid_262
wanliu_aq,beijing_grid_282
wanliu_aq,beijing_grid_283
beibuxinqu_aq,beijing_grid_242
beibuxinqu_aq,beijing_grid_262
beibuxinqu_aq,beijing_grid_263
zhiwuyuan_aq,beijing_grid_262
zhiwuyuan_aq,beijing_grid_263
zhiwuyuan_aq,beijing_grid_283
fengtaihuayuan_aq,beijing_grid_261
fengtaihuayuan_aq,beijing_grid_281
fengtaihuayuan_aq,beijing_grid_282
yungang_aq,beijing_grid_239
yungang_aq,beijing_grid_240
yungang_aq,beijing_grid_260
yungang_aq,beijing_grid_261
gucheng_aq,beijing_grid_240
gucheng_aq,beijing_grid_261
gucheng_aq,beijing_grid_262
fangshan_aq,beijing_grid_238
fangshan_aq,beijing_grid_239
fangshan_aq,beijing_grid_259
fangshan_aq,beijing_grid_260
daxing_aq,beijing_grid_301
daxing_aq,beijing_grid_302
daxing_aq,beijing_grid_322
yizhuang_aq,beijing_grid_322
yizhuang_aq,beijing_grid_323
yizhuang_aq,beijing_grid_344
tongzhou_aq,beijing_grid_345
tongzhou_aq,beijing_grid_365
tongzhou_aq,beijing_grid_366
shunyi_aq,beijing_grid_347
shunyi_aq,beijing_grid_348
shunyi_aq,beijing_grid_368
shunyi_aq,beijing_grid_369
pingchang_aq,beijing_grid_264
pingchang_aq,beijing_grid_265
pingchang_aq,beijing_grid_285
mentougou_aq,beijing_grid_240
mentougou_aq,beijing_grid_241
pinggu_aq,beijing_grid_452
pinggu_aq,beijing_grid_453
huairou_aq,beijing_grid_349
huairou_aq,beijing_grid_350
huairou_aq,beijing_grid_370
miyun_aq,beijing_grid_391
miyun_aq,beijing_grid_392
miyun_aq,beijing_grid_412
miyun_aq,beijing_grid_413
yanqin_aq,beijing_grid_203
yanqin_aq,beijing_grid_204
yanqin_aq,beijing_grid_224
yanqin_aq,beijing_grid_225
dingling_aq,beijing_grid_264
dingling_aq,beijing_grid_265
dingling_aq,beijing_grid_286
badaling_aq,beijing_grid_203
badaling_aq,beijing_grid_223
badaling_aq,beijing_grid_224
miyunshuiku_aq,beijing_grid_413
miyunshuiku_aq,beijing_grid_414
miyunshuiku_aq,beijing_grid_435
donggaocun_aq,beijing_grid_452
donggaocun_aq,beijing_grid_473
yongledian_aq,beijing_grid_364
yongledian_aq,beijing_grid_385
yongledian_aq,beijing_grid_386
yufa_aq,beijing_grid_278
yufa_aq,beijing_grid_279
liulihe_aq,beijing_grid_215
liulihe_aq,beijing_grid_216
qianmen_aq,beijing_grid_282
qianmen_aq,beijing_grid_302
qianmen_aq,beijing_grid_303
yongdingmennei_aq,beijing_grid_282
yongdingmennei_aq,beijing_grid_302
yongdingmennei_aq,beijing_grid_303
xizhimenbei_aq,beijing_grid_282
xizhimenbei_aq,beijing_grid_283
xizhimenbei_aq,beijing_grid_303
xizhimenbei_aq,beijing_grid_304
nansanhuan_aq,beijing_grid_281
nansanhuan_aq,beijing_grid_282
nansanhuan_aq,beijing_grid_302
nansanhuan_aq,beijing_grid_303
dongsihuan_aq,beijing_grid_303
dongsihuan_aq,beijing_grid_324
dongsihuan_aq,beijing_grid_325
dongsi_aq,chaoyang_meo
guanyuan_aq,hadian_meo
nongzhanguan_aq,chaoyang_meo
wanliu_aq,hadian_meo
wanliu_aq,shijingshan_meo
zhiwuyuan_aq,hadian_meo
zhiwuyuan_aq,shijingshan_meo
fengtaihuayuan_aq,fengtai_meo
yungang_aq,mentougou_meo
yungang_aq,fangshan_meo
gucheng_aq,mentougou_meo
gucheng_aq,shijingshan_meo
gucheng_aq,fengtai_meo
fangshan_aq,fangshan_meo
daxing_aq,daxing_meo
yizhuang_aq,beijing_meo
shunyi_aq,shunyi_meo
pingchang_aq,pingchang_meo
mentougou_aq,mentougou_meo
mentougou_aq,shijingshan_meo
pinggu_aq,pinggu_meo
huairou_aq,huairou_meo
miyun_aq,miyun_meo
yanqin_aq,yanqing_meo
dingling_aq,pingchang_meo
badaling_aq,yanqing_meo
donggaocun_aq,pinggu_meo
xizhimenbei_aq,hadian_meo
dongsihuan_aq,chaoyang_meo
