id,station_id,time,weather,temperature,pressure,humidity,wind_direction,wind_speed
3116510,beijing_grid_000,2018-05-01 00:00:00,CLOUDY,20.0,975.6105,52.0,76.64,4.38
3116511,beijing_grid_001,2018-05-01 00:00:00,CLOUDY,20.0,962.0873,49.0,58.35,3.82
3116512,beijing_grid_002,2018-05-01 00:00:00,CLOUDY,13.0,948.5641,46.0,36.82,3.75
3116513,beijing_grid_003,2018-05-01 00:00:00,CLOUDY,13.0,933.2105,43.0,9.52,4.65
3116514,beijing_grid_004,2018-05-01 00:00:00,CLOUDY,13.0,916.0265,42.0,350.17,6.88
3116515,beijing_grid_005,2018-05-01 00:00:00,RAIN,13.0,898.8425,40.0,340.83,9.49
3116516,beijing_grid_006,2018-05-01 00:00:00,CLOUDY,13.0,880.5897,41.0,339.08,10.51
3116517,beijing_grid_007,2018-05-01 00:00:00,CLOUDY,13.0,862.3369,43.0,337.65,11.53
3116518,beijing_grid_008,2018-05-01 00:00:00,RAIN,13.1,855.2201,44.0,336.95,12.09
3116519,beijing_grid_009,2018-05-01 00:00:00,RAIN,13.1,859.2393,45.0,336.81,12.16
3116520,beijing_grid_010,2018-05-01 00:00:00,CLOUDY,14.0,863.2585,46.0,336.67,12.24
3116521,beijing_grid_011,2018-05-01 00:00:00,PARTLY_CLOUDY_DAY,14.0,874.3561,47.0,330.61,12.25
3116522,beijing_grid_012,2018-05-01 00:00:00,PARTLY_CLOUDY_DAY,14.0,885.4537,47.0,324.63,12.4
3116523,beijing_grid_013,2018-05-01 00:00:00,PARTLY_CLOUDY_DAY,14.0,896.3849,46.0,322.26,13.27
3116524,beijing_grid_014,2018-05-01 00:00:00,RAIN,12.0,907.1497,45.0,323.2,14.76
3116525,beijing_grid_015,2018-05-01 00:00:00,RAIN,12.0,917.9145,44.0,323.96,16.25
3116526,beijing_grid_016,2018-05-01 00:00:00,RAIN,12.0,917.7353,45.0,334.27,16.19
3116527,beijing_grid_017,2018-05-01 00:00:00,HAZE,12.0,917.5562,45.0,344.33,16.64
3116528,beijing_grid_018,2018-05-01 00:00:00,HAZE,10.0,908.8618,48.0,354.76,17.52
3116529,beijing_grid_019,2018-05-01 00:00:00,HAZE,10.0,891.6521,53.0,5.02,18.91
3116530,beijing_grid_020,2018-05-01 00:00:00,HAZE,10.0,874.4425,58.0,13.64,20.82
3116531,beijing_grid_021,2018-05-01 00:00:00,CLOUDY,20.0,984.5641,52.0,69.59,5.13
3116532,beijing_grid_022,2018-05-01 00:00:00,CLOUDY,20.0,974.2614,49.0,63.35,4.5
3116533,beijing_grid_023,2018-05-01 00:00:00,CLOUDY,20.0,963.9587,47.0,55.21,3.93
3116534,beijing_grid_024,2018-05-01 00:00:00,CLOUDY,20.0,950.1628,44.0,30.96,3.89
3116535,beijing_grid_025,2018-05-01 00:00:00,CLOUDY,16.6,932.8739,42.0,3.62,5.31
3116536,beijing_grid_026,2018-05-01 00:00:00,CLOUDY,16.6,915.5849,40.0,349.59,7.38
3116537,beijing_grid_027,2018-05-01 00:00:00,CLOUDY,16.6,901.83,40.0,345.25,9.11
3116538,beijing_grid_028,2018-05-01 00:00:00,CLOUDY,16.6,888.0752,40.0,342.32,10.87
3116539,beijing_grid_029,2018-05-01 00:00:00,CLOUDY,13.1,877.1913,41.0,339.87,11.89
3116540,beijing_grid_030,2018-05-01 00:00:00,CLOUDY,14.5,869.1785,43.0,337.34,12.16
3116541,beijing_grid_031,2018-05-01 00:00:00,CLOUDY,14.0,861.1657,44.0,334.92,12.45
3116542,beijing_grid_032,2018-05-01 00:00:00,PARTLY_CLOUDY_DAY,14.0,877.3296,44.0,327.83,12.82
3116543,beijing_grid_033,2018-05-01 00:00:00,PARTLY_CLOUDY_DAY,14.0,893.4934,44.0,321.22,13.37
3116544,beijing_grid_034,2018-05-01 00:00:00,CLEAR_DAY,14.0,906.2128,43.0,319.19,13.97
3116545,beijing_grid_035,2018-05-01 00:00:00,RAIN,14.0,915.4876,43.0,321.19,14.51
3116546,beijing_grid_036,2018-05-01 00:00:00,RAIN,12.0,924.7625,42.0,323.03,15.06
3116547,beijing_grid_037,2018-05-01 00:00:00,RAIN,12.0,917.0313,44.0,333.74,14.8
3116548,beijing_grid_038,2018-05-01 00:00:00,PARTLY_CLOUDY_DAY,12.0,909.3002,46.0,344.45,15.05
